,decimalLatitude,decimalLongitude,eventDate,Year,Month,Day,Depth,Volume,ParentEventID,h0,h1,h2,h3,measurementValue_vol_0.00050m_0.00150m,measurementValue_vol_0.00050m_0.00150m_detlim.,measurementValue_vol_0.00150m_0.00500m,measurementValue_vol_0.00150m_0.00500m_detlim.,measurementValue_vol_0.00500m_0.01500m,measurementValue_vol_0.00500m_0.01500m_detlim.,measurementValue_vol_0.01500m_0.05000m,measurementValue_vol_0.01500m_0.05000m_detlim.,measurementValue_vol_0.00050m_0.05000m_detlim,measurementValue_vol_0.00050m_0.05000m_nodetlim,measurementUnit_vol
16,30.583366666666667,-145.0625,2018-11-13,2018,11,13,393.06087,1485.0,Egger_2020_SR,577445914721910783,581918728023703551,586433872523165695,590937265992105983,0.0013468013468013469,0,0.0006734006734006734,0,0.0006734006734006734,1,0.0006734006734006734,1,0.0033670033670033673,0.00202020202020202,nm-3
17,30.583366666666667,-145.0625,2018-11-13,2018,11,13,296.23325,2807.0,Egger_2020_SR,577445914721910783,581918728023703551,586433872523165695,590937265992105983,0.0007125044531528322,0,0.0003562522265764161,0,0.0003562522265764161,1,0.0003562522265764161,1,0.0017812611328820805,0.0010687566797292483,nm-3
18,30.583366666666667,-145.0625,2018-11-13,2018,11,13,171.44879,2677.0,Egger_2020_SR,577445914721910783,581918728023703551,586433872523165695,590937265992105983,0.00037355248412401944,1,0.00037355248412401944,1,0.00037355248412401944,1,0.00037355248412401944,1,0.0014942099364960778,0.0,nm-3
19,30.583366666666667,-145.0625,2018-11-13,2018,11,13,88.31351,2544.0,Egger_2020_SR,577445914721910783,581918728023703551,586433872523165695,590937265992105983,0.00039308176100628933,0,0.00039308176100628933,0,0.0007861635220125787,0,0.00039308176100628933,1,0.0019654088050314465,0.0015723270440251573,nm-3
20,30.583366666666667,-145.0625,2018-11-13,2018,11,13,52.62971,2073.0,Egger_2020_SR,577445914721910783,581918728023703551,586433872523165695,590937265992105983,0.000482392667631452,1,0.000482392667631452,1,0.000482392667631452,1,0.000482392667631452,1,0.001929570670525808,0.0,nm-3
21,30.583366666666667,-145.0625,2018-11-13,2018,11,13,29.8616,1355.0,Egger_2020_SR,577445914721910783,581918728023703551,586433872523165695,590937265992105983,0.02214022140221402,0,0.002214022140221402,0,0.0007380073800738007,1,0.0007380073800738007,1,0.025830258302583026,0.024354243542435424,nm-3
22,30.5572,-145.043,2018-11-15,2018,11,15,1751.02863,4850.0,Egger_2020_SR,577445914721910783,581918728023703551,586433872523165695,590937265992105983,0.0002061855670103093,1,0.0002061855670103093,1,0.0002061855670103093,1,0.0002061855670103093,1,0.0008247422680412372,0.0,nm-3
23,30.5572,-145.043,2018-11-15,2018,11,15,1340.15769,2671.0,Egger_2020_SR,577445914721910783,581918728023703551,586433872523165695,590937265992105983,0.00037439161362785476,1,0.00037439161362785476,0,0.00037439161362785476,1,0.00037439161362785476,1,0.001497566454511419,0.00037439161362785476,nm-3
24,30.5572,-145.043,2018-11-15,2018,11,15,888.35699,4162.0,Egger_2020_SR,577445914721910783,581918728023703551,586433872523165695,590937265992105983,0.0002402691013935608,1,0.0002402691013935608,1,0.0002402691013935608,1,0.0002402691013935608,1,0.0009610764055742432,0.0,nm-3
25,30.5572,-145.043,2018-11-15,2018,11,15,483.83532,2658.0,Egger_2020_SR,577445914721910783,581918728023703551,586433872523165695,590937265992105983,0.0003762227238525207,1,0.0003762227238525207,1,0.0003762227238525207,1,0.0003762227238525207,1,0.0015048908954100827,0.0,nm-3
