,decimalLatitude,decimalLongitude,eventDate,Year,Month,Day,Depth,ParentEventID,measurementValue,measurementUnit,l_min,l_max,h0,h1,h2,h3,measurementValue_vol_1m,measurementValue_vol_5m,measurementUnit_vol
456,30.14,160.53,2012-06-18,2012,6,18,0,Eriksen2014,6.193e-05,n m-2,0.2,inf,577375545977733119,581870349512081407,586354707685965823,590858101154906111,6.193e-05,1.2386e-05,n m-3
457,30.12,160.39,2012-06-18,2012,6,18,0,Eriksen2014,0.00010053,n m-2,0.2,inf,577375545977733119,581870349512081407,586354707685965823,590873975354032127,0.00010053,2.0106e-05,n m-3
458,30.1916,161.3383,2012-06-18,2012,6,18,0,Eriksen2014,4.308e-05,n m-2,0.2,inf,577375545977733119,581870349512081407,586370650604568575,590858101154906111,4.308e-05,8.616e-06,n m-3
459,30.1152,160.309,2012-06-18,2012,6,18,0,Eriksen2014,0.00014471000000000002,n m-2,0.2,inf,577375545977733119,581870349512081407,586354707685965823,590873975354032127,0.00014471000000000002,2.8942000000000002e-05,n m-3
460,30.2556,163.0435,2012-06-19,2012,6,19,0,Eriksen2014,9.863e-05,n m-2,0.2,inf,577375545977733119,581870349512081407,586371750116196351,590875212304613375,9.863e-05,1.9726e-05,n m-3
461,30.28,163.59,2012-06-19,2012,6,19,0,Eriksen2014,0.00032124000000000003,n m-2,0.2,inf,577375545977733119,581870349512081407,586371750116196351,590874868707229695,0.00032124000000000003,6.424800000000001e-05,n m-3
462,30.2949,164.2165,2012-06-19,2012,6,19,0,Eriksen2014,0.00018582,n m-2,0.2,inf,577375545977733119,581870349512081407,586371750116196351,590874868707229695,0.00018582,3.7164e-05,n m-3
463,30.3045,166.0915,2012-06-20,2012,6,20,0,Eriksen2014,5.852e-05,n m-2,0.2,inf,577375545977733119,581870349512081407,586371200360382463,590874525109846015,5.852e-05,1.1704e-05,n m-3
464,30.3397,166.2189,2012-06-20,2012,6,20,0,Eriksen2014,0.00019507,n m-2,0.2,inf,577375545977733119,581870349512081407,586371200360382463,590874525109846015,0.00019507,3.9013999999999996e-05,n m-3
465,30.33,166.2,2012-06-20,2012,6,20,0,Eriksen2014,0.0002392,n m-2,0.2,inf,577375545977733119,581870349512081407,586371200360382463,590874525109846015,0.0002392,4.7839999999999996e-05,n m-3
466,30.42,166.46,2012-06-20,2012,6,20,0,Eriksen2014,0.00017428,n m-2,0.2,inf,577375545977733119,581870349512081407,586371200360382463,590874525109846015,0.00017428,3.4856e-05,n m-3
467,29.5845,168.2213,2012-06-21,2012,6,21,0,Eriksen2014,5.573e-05,n m-2,0.2,inf,577375545977733119,581870349512081407,586371200360382463,590874731268276223,5.573e-05,1.1146e-05,n m-3
468,29.5261,168.3514,2012-06-21,2012,6,21,0,Eriksen2014,4.235e-05,n m-2,0.2,inf,577375545977733119,581870349512081407,586371200360382463,590874731268276223,4.235e-05,8.47e-06,n m-3
469,29.1,170.03,2012-06-22,2012,6,22,0,Eriksen2014,2.7799999999999996e-06,n m-2,0.2,inf,577375545977733119,581865951465570303,586366252558057471,590869577307521023,2.7799999999999996e-06,5.56e-07,n m-3
470,28.55,173.1,2012-06-23,2012,6,23,0,Eriksen2014,4.5350000000000005e-05,n m-2,0.2,inf,577375545977733119,581865951465570303,586365702802243583,590869027551707135,4.5350000000000005e-05,9.070000000000001e-06,n m-3
471,29.01,172.49,2012-06-23,2012,6,23,0,Eriksen2014,1.581e-05,n m-2,0.2,inf,577375545977733119,581865951465570303,586367352069685247,590870814258102271,1.581e-05,3.162e-06,n m-3
472,29.1514,172.2652,2012-06-23,2012,6,23,0,Eriksen2014,2.1899999999999997e-05,n m-2,0.2,inf,577375545977733119,581865951465570303,586367352069685247,590870814258102271,2.1899999999999997e-05,4.3799999999999996e-06,n m-3
473,29.11,170.31,2012-06-23,2012,6,23,0,Eriksen2014,1.03e-06,n m-2,0.2,inf,577375545977733119,581865951465570303,586366252558057471,590869371149090815,1.03e-06,2.0600000000000002e-07,n m-3
474,28.34,175.11,2012-06-24,2012,6,24,0,Eriksen2014,2.14e-05,n m-2,0.2,inf,577375545977733119,581865951465570303,586366802313871359,590870264502288383,2.14e-05,4.28e-06,n m-3
475,28.2373,175.2428,2012-06-24,2012,6,24,0,Eriksen2014,7.75e-06,n m-2,0.2,inf,577375545977733119,581865951465570303,586366802313871359,590870264502288383,7.75e-06,1.55e-06,n m-3
476,29.51,179.45,2012-06-25,2012,6,25,0,Eriksen2014,7.859e-05,n m-2,0.2,inf,577375545977733119,582226591279480831,586376697918521343,590880091387461631,7.859e-05,1.5718e-05,n m-3
477,30.0095,-178.5613,2012-06-25,2012,6,25,0,Eriksen2014,0.00020240000000000001,n m-2,0.2,inf,577727389698621439,582226591279480831,586728541639409663,591232072547303423,0.00020240000000000001,4.0480000000000005e-05,n m-3
478,30.04,-178.41,2012-06-26,2012,6,26,0,Eriksen2014,0.00019542,n m-2,0.2,inf,577727389698621439,582226591279480831,586728541639409663,591232072547303423,0.00019542,3.9084e-05,n m-3
479,30.2152,-176.4467,2012-06-26,2012,6,26,0,Eriksen2014,0.00014955,n m-2,0.2,inf,577727389698621439,582226591279480831,586728541639409663,591232003827826687,0.00014955,2.991e-05,n m-3
480,30.25,-176.28,2012-06-26,2012,6,26,0,Eriksen2014,0.00014268,n m-2,0.2,inf,577727389698621439,582226591279480831,586728541639409663,591232003827826687,0.00014268,2.8536000000000003e-05,n m-3
481,30.2856,-176.1427,2012-06-26,2012,6,26,0,Eriksen2014,0.0001707,n m-2,0.2,inf,577727389698621439,582226591279480831,586728541639409663,591232003827826687,0.0001707,3.414e-05,n m-3
482,30.3412,-175.5211,2012-06-26,2012,6,26,0,Eriksen2014,1.987e-05,n m-2,0.2,inf,577727389698621439,582226591279480831,586718646034759679,591221902064746495,1.987e-05,3.974e-06,n m-3
